F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.019017322,0.014394559,0.015799159,0.014682529,0.015172094,0.014394559,0.01223316,0.014682529,0.01335886,0.011357068,0.010576323,0.011600866,7.656289683,12.38554289,10.38289683,12.38917012,13.78698555,12.38554289,17.47007474,12.38917012,18.64552553,20.44117115,23.54908909,20.28981077,147.5125198,415.9942801,343.7469048,435.1214326,446.9217339,415.9942801,794.4980767,435.1214326,780.5649249,980.786523,1294.445706,991.0996803,0.205422441,0.142084521,0.169080296,0.140950885,0.131142412,0.142084521,0.104726017,0.140950885,0.104742423,0.092099174,0.081039614,0.090484949,114.8310321,63.62170088,109.2852543,54.48052639,106.3049481,53.73710128,4047.720823,2968.127756,2887.676054,0.00165132,6.01E-09,9.79E-11,6.99E-14,-6.41E-27,4.19E-18,-1.83E-25,Blue Tang Fish
0.117167671,0.102384236,0.106484881,0.10263233,0.107277605,0.102384236,0.097976112,0.10263233,0.101122211,0.093725154,0.092927606,0.093213179,5.076880045,8.784090453,7.452797727,8.705165281,9.067973043,8.784090453,12.96778475,8.705165281,12.17914385,14.69615353,17.61561786,14.54318661,95.26991928,280.2695305,219.3953028,279.2236615,283.6585302,280.2695305,587.6166345,279.2236615,484.8417566,702.0266091,960.3166225,695.317911,0.407047572,0.304871264,0.335861204,0.305912344,0.319549619,0.304871264,0.260604549,0.305912344,0.280563247,0.241135129,0.227421402,0.243408278,93.78320662,86.77888408,49.45975799,48.95242355,63.07341878,57.94643354,7530.574722,2396.339771,3357.78916,0.002432138,5.67E-07,1.69E-09,2.40E-10,-6.05E-20,3.66E-14,-1.40E-19,Blue Tang Fish
0.027118233,0.02104044,0.023943577,0.020640393,0.020583774,0.02104044,0.01865416,0.020640393,0.017885505,0.016871854,0.016295126,0.016459345,4.987113402,7.710125718,7.316682337,9.297244648,8.844638774,7.710125718,12.40677284,9.297244648,12.07609133,13.06864056,16.90820514,15.63525454,104.3428235,229.108969,267.7322304,393.2720207,287.8917325,229.108969,635.3594353,393.2720207,489.6891712,589.7257417,1012.12432,885.3809582,0.345311601,0.2435564,0.296143814,0.235597002,0.233395175,0.2435564,0.196639184,0.235597002,0.186765029,0.161505341,0.153870498,0.15625187,120.2433029,80.21113332,98.33063328,60.55948369,92.29469012,70.30771176,6433.825909,3667.451065,4943.174333,0.001892729,1.55E-07,1.41E-10,2.20E-11,9.88E-22,6.81E-15,-7.28E-22,Blue Tang Fish
0.045645504,0.03509712,0.040626048,0.035590979,0.034578714,0.03509712,0.030690207,0.035590979,0.029425666,0.027082049,0.026068662,0.027349037,2.58325007,4.597207714,3.747668601,4.107934914,4.680267196,4.597207714,6.607238417,4.107934914,6.446294805,7.759755925,9.000808996,6.966834925,28.713101,101.2647851,68.47234341,71.18423061,87.7903352,101.2647851,196.6766451,71.18423061,158.3061418,257.6559225,326.3618639,186.0970018,0.496283789,0.367112529,0.433201643,0.372143694,0.353583121,0.367112529,0.298659425,0.372143694,0.283530481,0.250665055,0.233061595,0.254594647,102.3926303,63.10402644,47.55127108,27.49553533,61.66780801,37.10995018,3982.118152,756.0044632,1377.148403,0.003261577,1.18E-06,7.53E-10,9.89E-11,2.56E-20,3.48E-14,-8.53E-21,Blue Tang Fish
0.030766831,0.025416253,0.029296447,0.025455182,0.02423225,0.025416253,0.022618622,0.025455182,0.021582688,0.020331416,0.019613202,0.020187541,6.178864143,8.649537061,5.641256039,7.363446082,10.44078869,8.649537061,9.491394482,7.363446082,13.17004474,13.20505753,12.13340816,11.49420242,264.391752,470.1729075,217.2696321,363.6202337,671.9682738,470.1729075,504.9843699,363.6202337,955.0980984,933.8296081,728.9249532,747.3487386,0.367702366,0.282118602,0.350826126,0.280374531,0.251919462,0.282118602,0.232180638,0.280374531,0.203096199,0.194423422,0.181111817,0.186229219,53.42827407,51.5851454,98.15076296,54.79394982,94.39651111,52.65079382,2661.027226,3002.376937,2772.10609,0.001780386,6.40E-07,7.81E-11,1.54E-11,-5.36E-22,-6.33E-15,4.13E-24,Clown Fish
0.046057824,0.041281387,0.044597351,0.038448179,0.036314365,0.041281387,0.035033975,0.038448179,0.031709137,0.033296217,0.030631088,0.030534054,3.256116814,4.451760019,3.314007859,4.639022199,6.045091869,4.451760019,6.183556139,4.639022199,8.474760783,8.037770272,8.693060818,8.405416627,54.26876299,98.56667714,45.96996785,89.51723836,181.2319283,98.56667714,157.1679916,89.51723836,337.4560692,305.9103869,299.7333559,279.3211331,0.448082966,0.391346778,0.429061783,0.350146971,0.326969459,0.391346778,0.307430148,0.350146971,0.268260978,0.288746315,0.25039593,0.248188085,40.48503485,49.47266538,66.59514494,51.72916177,99.21867971,59.28000491,2447.54462,2675.906178,3514.118982,0.002321187,1.59E-07,2.73E-10,1.19E-10,-1.56E-20,3.64E-14,-1.46E-20,Clown Fish
0.043387087,0.034630115,0.040587632,0.034554982,0.035910306,0.034630115,0.032744639,0.034554982,0.031742384,0.027331971,0.029002434,0.0271887,1.613787788,2.527498469,1.793463463,2.525154784,3.012443888,2.527498469,3.368456914,2.525154784,4.255283852,4.502410633,4.756263791,4.498240971,28.02206607,51.29403478,26.21243243,51.36000565,94.00042184,51.29403478,87.47650501,51.36000565,176.5712136,157.9160435,164.9328957,158.0444536,0.6395078,0.499012835,0.599144963,0.498013319,0.498511792,0.499012835,0.44755087,0.498013319,0.415774962,0.351216115,0.367400893,0.350050813,110.735241,69.05752321,117.007976,66.5629977,131.018486,63.80856535,4768.941512,4430.632662,4071.533012,0.001398791,6.59E-09,3.23E-11,7.53E-11,2.34E-21,1.69E-15,-2.88E-21,Clown Fish
0.030545544,0.024526194,0.027692948,0.024243296,0.023801014,0.024526194,0.021580762,0.024243296,0.021130446,0.019722138,0.019291658,0.019470483,2.305869245,3.416021288,2.610466471,3.404960206,4.172640365,3.416021288,4.667768943,3.404960206,5.715151553,5.860420582,6.330030481,5.806694565,22.74359717,45.59253847,25.52655667,43.66904788,74.15435231,45.59253847,82.71977842,43.66904788,139.2998577,140.4968412,154.2969999,130.0748772,0.47486602,0.359799711,0.421735802,0.354491098,0.339120406,0.359799711,0.29373788,0.354491098,0.282195984,0.256306331,0.244239801,0.251375755,130.6952676,92.07699812,99.29770138,63.81108228,107.7454543,52.70283102,8478.173582,4071.854221,2777.588397,0.001663282,4.60E-07,4.55E-10,1.51E-10,3.97E-20,1.02E-13,-1.05E-21,Clown Fish
0.026461482,0.022056987,0.026179536,0.022090508,0.019309253,0.022056987,0.019165269,0.022090508,0.016276607,0.016556329,0.016248737,0.016584853,3.095219811,4.334536414,3.137915971,4.353641712,5.743949275,4.334536414,5.738807135,4.353641712,8.144059185,7.788332905,8.005290341,7.724494133,56.74158041,95.43841851,51.99878408,98.3993718,169.6569928,95.43841851,150.4935953,98.3993718,289.3465941,256.6385527,249.7350558,252.3578819,0.376214689,0.286115485,0.371267538,0.286474212,0.232469359,0.286115485,0.227869952,0.286474212,0.174740246,0.178933885,0.172058203,0.177580216,91.40938889,56.97876798,107.9241667,44.04392743,124.9824111,57.91949937,3246.580001,1939.867544,3354.668407,0.001484372,9.25E-10,6.44E-12,8.81E-12,6.39E-23,1.04E-16,-1.78E-23,Clown Fish
0.047026845,0.041732788,0.04693448,0.041414717,0.039092112,0.041732788,0.038628807,0.041414717,0.035617773,0.035747293,0.035164498,0.035324325,9.294330477,11.95825536,8.738241594,12.42196272,16.33839396,11.95825536,15.33895604,12.42196272,21.92370706,20.08052258,20.40398698,20.61220622,290.7676302,509.4855254,282.7262864,516.5332784,863.4959266,509.4855254,826.6646404,516.5332784,1434.092217,1305.440974,1338.604428,1304.457037,0.240799032,0.203322658,0.251111125,0.194084263,0.169360979,0.203322658,0.174852927,0.194084263,0.140673815,0.14857497,0.144536894,0.140054611,55.39816692,56.58472168,73.51491803,61.39137598,91.29556384,78.00872866,3201.830728,3768.901044,6085.361748,0.00197439,5.38E-07,1.40E-10,5.59E-11,1.76E-21,-1.19E-14,4.63E-21,Clown Fish
